date,OT,Num_Sites,AQI_Category,Param_Freq,Month,DayOfWeek
1980-01-01,94,23.0,2.0,0.18687026722573377,0.08333333333333333,0.16666666666666666
1980-01-02,115,24.0,3.0,0.18687026722573377,0.08333333333333333,0.3333333333333333
1980-01-03,95,24.0,2.0,0.18687026722573377,0.08333333333333333,0.5
1980-01-04,135,25.0,3.0,0.18687026722573377,0.08333333333333333,0.6666666666666666
1980-01-05,88,25.0,2.0,0.18687026722573377,0.08333333333333333,0.8333333333333334
1980-01-06,74,25.0,2.0,0.22880030039426746,0.08333333333333333,1.0
1980-01-07,81,25.0,2.0,0.18687026722573377,0.08333333333333333,0.0
1980-01-08,90,25.0,2.0,0.18687026722573377,0.08333333333333333,0.16666666666666666
1980-01-09,95,25.0,2.0,0.18687026722573377,0.08333333333333333,0.3333333333333333
1980-01-10,101,25.0,3.0,0.18687026722573377,0.08333333333333333,0.5
1980-01-11,211,25.0,5.0,0.18687026722573377,0.08333333333333333,0.6666666666666666
1980-01-12,52,25.0,2.0,0.18687026722573377,0.08333333333333333,0.8333333333333334
1980-01-13,63,25.0,2.0,0.18687026722573377,0.08333333333333333,1.0
1980-01-14,180,25.0,4.0,0.18687026722573377,0.08333333333333333,0.0
1980-01-15,71,24.0,2.0,0.18687026722573377,0.08333333333333333,0.16666666666666666
1980-01-16,161,24.0,4.0,0.18687026722573377,0.08333333333333333,0.3333333333333333
1980-01-17,135,24.0,3.0,0.18687026722573377,0.08333333333333333,0.5
1980-01-18,115,23.0,3.0,0.18687026722573377,0.08333333333333333,0.6666666666666666
1980-01-19,75,23.0,2.0,0.18687026722573377,0.08333333333333333,0.8333333333333334
1980-01-20,52,23.0,2.0,0.18687026722573377,0.08333333333333333,1.0
1980-01-21,90,24.0,2.0,0.18687026722573377,0.08333333333333333,0.0
1980-01-22,100,24.0,2.0,0.18687026722573377,0.08333333333333333,0.16666666666666666
1980-01-23,104,24.0,3.0,0.18687026722573377,0.08333333333333333,0.3333333333333333
1980-01-24,77,25.0,2.0,0.18687026722573377,0.08333333333333333,0.5
1980-01-25,95,25.0,2.0,0.18687026722573377,0.08333333333333333,0.6666666666666666
1980-01-26,70,25.0,2.0,0.18687026722573377,0.08333333333333333,0.8333333333333334
1980-01-27,89,25.0,2.0,0.22880030039426746,0.08333333333333333,1.0
1980-01-28,87,25.0,2.0,0.18687026722573377,0.08333333333333333,0.0
1980-01-29,89,25.0,2.0,0.18687026722573377,0.08333333333333333,0.16666666666666666
1980-01-30,85,26.0,2.0,0.18687026722573377,0.08333333333333333,0.3333333333333333
1980-01-31,82,26.0,2.0,0.18687026722573377,0.08333333333333333,0.5
1980-02-01,80,26.0,2.0,0.18687026722573377,0.16666666666666666,0.6666666666666666
1980-02-02,57,26.0,2.0,0.18687026722573377,0.16666666666666666,0.8333333333333334
1980-02-03,45,25.0,1.0,0.18687026722573377,0.16666666666666666,1.0
1980-02-04,77,24.0,2.0,0.18687026722573377,0.16666666666666666,0.0
1980-02-05,85,26.0,2.0,0.18687026722573377,0.16666666666666666,0.16666666666666666
1980-02-06,135,26.0,3.0,0.18687026722573377,0.16666666666666666,0.3333333333333333
1980-02-07,75,26.0,2.0,0.18687026722573377,0.16666666666666666,0.5
1980-02-08,78,24.0,2.0,0.18687026722573377,0.16666666666666666,0.6666666666666666
1980-02-09,64,11.0,2.0,0.18687026722573377,0.16666666666666666,0.8333333333333334
1980-02-10,55,11.0,2.0,0.18687026722573377,0.16666666666666666,1.0
1980-02-11,74,26.0,2.0,0.18687026722573377,0.16666666666666666,0.0
1980-02-12,75,26.0,2.0,0.18687026722573377,0.16666666666666666,0.16666666666666666
1980-02-13,83,27.0,2.0,0.18687026722573377,0.16666666666666666,0.3333333333333333
1980-02-14,85,27.0,2.0,0.22880030039426746,0.16666666666666666,0.5
1980-02-15,75,25.0,2.0,0.18687026722573377,0.16666666666666666,0.6666666666666666
1980-02-16,82,25.0,2.0,0.18687026722573377,0.16666666666666666,0.8333333333333334
1980-02-17,52,24.0,2.0,0.18687026722573377,0.16666666666666666,1.0
1980-02-18,104,25.0,3.0,0.22880030039426746,0.16666666666666666,0.0
1980-02-19,75,24.0,2.0,0.18687026722573377,0.16666666666666666,0.16666666666666666
1980-02-20,128,25.0,3.0,0.18687026722573377,0.16666666666666666,0.3333333333333333
1980-02-21,131,25.0,3.0,0.18687026722573377,0.16666666666666666,0.5
1980-02-22,100,25.0,2.0,0.18687026722573377,0.16666666666666666,0.6666666666666666
1980-02-23,85,25.0,2.0,0.18687026722573377,0.16666666666666666,0.8333333333333334
1980-02-24,80,25.0,2.0,0.18687026722573377,0.16666666666666666,1.0
1980-02-25,103,27.0,3.0,0.18687026722573377,0.16666666666666666,0.0
1980-02-26,79,27.0,2.0,0.18687026722573377,0.16666666666666666,0.16666666666666666
1980-02-27,74,25.0,2.0,0.18687026722573377,0.16666666666666666,0.3333333333333333
1980-02-28,86,26.0,2.0,0.18687026722573377,0.16666666666666666,0.5
1980-02-29,75,24.0,2.0,0.18687026722573377,0.16666666666666666,0.6666666666666666
1980-03-01,89,27.0,2.0,0.18687026722573377,0.25,0.8333333333333334
1980-03-02,79,27.0,2.0,0.18687026722573377,0.25,1.0
1980-03-03,98,27.0,2.0,0.18687026722573377,0.25,0.0
1980-03-04,91,27.0,2.0,0.18687026722573377,0.25,0.16666666666666666
1980-03-05,87,27.0,2.0,0.18687026722573377,0.25,0.3333333333333333
1980-03-06,84,27.0,2.0,0.18687026722573377,0.25,0.5
1980-03-07,108,27.0,3.0,0.18687026722573377,0.25,0.6666666666666666
1980-03-08,128,26.0,3.0,0.18687026722573377,0.25,0.8333333333333334
1980-03-09,89,26.0,2.0,0.18687026722573377,0.25,1.0
1980-03-10,89,28.0,2.0,0.22880030039426746,0.25,0.0
1980-03-11,77,28.0,2.0,0.18687026722573377,0.25,0.16666666666666666
1980-03-12,98,27.0,2.0,0.18687026722573377,0.25,0.3333333333333333
1980-03-13,77,26.0,2.0,0.18687026722573377,0.25,0.5
1980-03-14,64,28.0,2.0,0.18687026722573377,0.25,0.6666666666666666
1980-03-15,62,29.0,2.0,0.22880030039426746,0.25,0.8333333333333334
1980-03-16,67,29.0,2.0,0.22880030039426746,0.25,1.0
1980-03-17,193,29.0,4.0,0.18687026722573377,0.25,0.0
1980-03-18,90,29.0,2.0,0.18687026722573377,0.25,0.16666666666666666
1980-03-19,91,30.0,2.0,0.18687026722573377,0.25,0.3333333333333333
1980-03-20,209,30.0,5.0,0.30427436009762815,0.25,0.5
1980-03-21,76,30.0,2.0,0.18687026722573377,0.25,0.6666666666666666
1980-03-22,69,30.0,2.0,0.18687026722573377,0.25,0.8333333333333334
1980-03-23,86,30.0,2.0,0.18687026722573377,0.25,1.0
1980-03-24,92,29.0,2.0,0.18687026722573377,0.25,0.0
1980-03-25,109,30.0,3.0,0.18687026722573377,0.25,0.16666666666666666
1980-03-26,91,30.0,2.0,0.18687026722573377,0.25,0.3333333333333333
1980-03-27,75,30.0,2.0,0.18687026722573377,0.25,0.5
1980-03-28,73,30.0,2.0,0.18687026722573377,0.25,0.6666666666666666
1980-03-29,80,30.0,2.0,0.18687026722573377,0.25,0.8333333333333334
1980-03-30,67,30.0,2.0,0.18687026722573377,0.25,1.0
1980-03-31,89,30.0,2.0,0.18687026722573377,0.25,0.0
1980-04-01,92,30.0,2.0,0.18687026722573377,0.3333333333333333,0.16666666666666666
1980-04-02,109,30.0,3.0,0.18687026722573377,0.3333333333333333,0.3333333333333333
1980-04-03,108,29.0,3.0,0.18687026722573377,0.3333333333333333,0.5
1980-04-04,151,29.0,4.0,0.18687026722573377,0.3333333333333333,0.6666666666666666
1980-04-05,91,29.0,2.0,0.18687026722573377,0.3333333333333333,0.8333333333333334
1980-04-06,105,27.0,3.0,0.30427436009762815,0.3333333333333333,1.0
1980-04-07,80,27.0,2.0,0.18687026722573377,0.3333333333333333,0.0
1980-04-08,121,28.0,3.0,0.18687026722573377,0.3333333333333333,0.16666666666666666
1980-04-09,123,29.0,3.0,0.18687026722573377,0.3333333333333333,0.3333333333333333
1980-04-10,185,29.0,4.0,0.18687026722573377,0.3333333333333333,0.5
1980-04-11,118,30.0,3.0,0.18687026722573377,0.3333333333333333,0.6666666666666666
1980-04-12,84,30.0,2.0,0.18687026722573377,0.3333333333333333,0.8333333333333334
1980-04-13,84,30.0,2.0,0.30427436009762815,0.3333333333333333,1.0
1980-04-14,91,31.0,2.0,0.18687026722573377,0.3333333333333333,0.0
1980-04-15,115,31.0,3.0,0.18687026722573377,0.3333333333333333,0.16666666666666666
1980-04-16,97,31.0,2.0,0.18687026722573377,0.3333333333333333,0.3333333333333333
1980-04-17,73,29.0,2.0,0.18687026722573377,0.3333333333333333,0.5
1980-04-18,94,26.0,2.0,0.18687026722573377,0.3333333333333333,0.6666666666666666
1980-04-19,87,30.0,2.0,0.22880030039426746,0.3333333333333333,0.8333333333333334
1980-04-20,119,26.0,3.0,0.30427436009762815,0.3333333333333333,1.0
1980-04-21,116,28.0,3.0,0.18687026722573377,0.3333333333333333,0.0
1980-04-22,84,26.0,2.0,0.18687026722573377,0.3333333333333333,0.16666666666666666
1980-04-23,102,29.0,3.0,0.22880030039426746,0.3333333333333333,0.3333333333333333
1980-04-24,161,31.0,4.0,0.30427436009762815,0.3333333333333333,0.5
1980-04-25,126,30.0,3.0,0.30427436009762815,0.3333333333333333,0.6666666666666666
1980-04-26,83,30.0,2.0,0.22880030039426746,0.3333333333333333,0.8333333333333334
1980-04-27,100,29.0,2.0,0.30427436009762815,0.3333333333333333,1.0
1980-04-28,68,30.0,2.0,0.18687026722573377,0.3333333333333333,0.0
1980-04-29,128,30.0,3.0,0.18687026722573377,0.3333333333333333,0.16666666666666666
1980-04-30,98,30.0,2.0,0.18687026722573377,0.3333333333333333,0.3333333333333333
1980-05-01,95,30.0,2.0,0.18687026722573377,0.4166666666666667,0.5
1980-05-02,90,31.0,2.0,0.18687026722573377,0.4166666666666667,0.6666666666666666
1980-05-03,128,31.0,3.0,0.18687026722573377,0.4166666666666667,0.8333333333333334
1980-05-04,128,29.0,3.0,0.18687026722573377,0.4166666666666667,1.0
1980-05-05,192,30.0,4.0,0.18687026722573377,0.4166666666666667,0.0
1980-05-06,148,30.0,3.0,0.18687026722573377,0.4166666666666667,0.16666666666666666
1980-05-07,105,32.0,3.0,0.30427436009762815,0.4166666666666667,0.3333333333333333
1980-05-08,90,32.0,2.0,0.18687026722573377,0.4166666666666667,0.5
1980-05-09,90,31.0,2.0,0.18687026722573377,0.4166666666666667,0.6666666666666666
1980-05-10,108,32.0,3.0,0.30427436009762815,0.4166666666666667,0.8333333333333334
1980-05-11,82,31.0,2.0,0.18687026722573377,0.4166666666666667,1.0
1980-05-12,165,32.0,4.0,0.18687026722573377,0.4166666666666667,0.0
1980-05-13,185,30.0,4.0,0.18687026722573377,0.4166666666666667,0.16666666666666666
1980-05-14,156,31.0,4.0,0.18687026722573377,0.4166666666666667,0.3333333333333333
1980-05-15,89,32.0,2.0,0.18687026722573377,0.4166666666666667,0.5
1980-05-16,93,31.0,2.0,0.18687026722573377,0.4166666666666667,0.6666666666666666
1980-05-17,150,30.0,3.0,0.30427436009762815,0.4166666666666667,0.8333333333333334
1980-05-18,140,30.0,3.0,0.30427436009762815,0.4166666666666667,1.0
1980-05-19,140,31.0,3.0,0.18687026722573377,0.4166666666666667,0.0
1980-05-20,129,31.0,3.0,0.30427436009762815,0.4166666666666667,0.16666666666666666
1980-05-21,104,29.0,3.0,0.18687026722573377,0.4166666666666667,0.3333333333333333
1980-05-22,181,30.0,4.0,0.18687026722573377,0.4166666666666667,0.5
1980-05-23,200,29.0,4.0,0.18687026722573377,0.4166666666666667,0.6666666666666666
1980-05-24,222,29.0,5.0,0.30427436009762815,0.4166666666666667,0.8333333333333334
1980-05-25,99,29.0,2.0,0.22880030039426746,0.4166666666666667,1.0
1980-05-26,60,29.0,2.0,0.22880030039426746,0.4166666666666667,0.0
1980-05-27,115,31.0,3.0,0.18687026722573377,0.4166666666666667,0.16666666666666666
1980-05-28,116,31.0,3.0,0.18687026722573377,0.4166666666666667,0.3333333333333333
1980-05-29,143,31.0,3.0,0.30427436009762815,0.4166666666666667,0.5
1980-05-30,105,30.0,3.0,0.22880030039426746,0.4166666666666667,0.6666666666666666
1980-05-31,123,30.0,3.0,0.18687026722573377,0.4166666666666667,0.8333333333333334
1980-06-01,126,29.0,3.0,0.30427436009762815,0.5,1.0
1980-06-02,130,29.0,3.0,0.18687026722573377,0.5,0.0
1980-06-03,151,31.0,4.0,0.18687026722573377,0.5,0.16666666666666666
1980-06-04,123,29.0,3.0,0.18687026722573377,0.5,0.3333333333333333
1980-06-05,90,30.0,2.0,0.18687026722573377,0.5,0.5
1980-06-06,174,32.0,4.0,0.30427436009762815,0.5,0.6666666666666666
1980-06-07,100,32.0,2.0,0.30427436009762815,0.5,0.8333333333333334
1980-06-08,79,32.0,2.0,0.22880030039426746,0.5,1.0
1980-06-09,103,31.0,3.0,0.18687026722573377,0.5,0.0
1980-06-10,184,33.0,4.0,0.30427436009762815,0.5,0.16666666666666666
1980-06-11,79,34.0,2.0,0.18687026722573377,0.5,0.3333333333333333
1980-06-12,103,34.0,3.0,0.22880030039426746,0.5,0.5
