model,dataset,params_M,flops_G
DLinear,ETTm2,0.0186,0.0001
DLinear,Weather,0.0186,0.0004
DLinear,Electricity,0.0186,0.0059
DLinear,Environment,0.0186,0.0001
PatchTST,ETTm2,3.7515,0.2706
PatchTST,Weather,3.7515,0.8118
PatchTST,Electricity,3.7515,12.4092
PatchTST,Environment,3.7515,0.2319
TimesNet,ETTm2,21.0127,20.1445
TimesNet,Weather,21.0414,20.1479
TimesNet,Electricity,21.6561,20.3056
TimesNet,Environment,21.0101,20.3330
Mamba,ETTm2,7.9544,1.0652
Mamba,Weather,7.9831,1.0680
Mamba,Electricity,8.5975,1.1270
Mamba,Environment,7.9519,1.0650
SparseTSF,ETTm2,0.0121,0.0001
SparseTSF,Weather,0.0197,0.0002
SparseTSF,Electricity,0.1835,0.0030
SparseTSF,Environment,0.0115,0.0001
KANiTransformer,ETTm2,118.6506,0.2031
KANiTransformer,Weather,118.6506,0.6098
KANiTransformer,Electricity,118.6512,9.5189
KANiTransformer,Environment,118.6506,0.1741
LiteSparseNet,ETTm2,0.0179,0.0001
LiteSparseNet,Weather,0.0515,0.0002
LiteSparseNet,Electricity,0.7918,0.0029
LiteSparseNet,Environment,0.0155,0.0001
