model,dataset,params_M,flops_G
DLinear,ETTm2,0.0186,0.0001
DLinear,Weather,0.0186,0.0004
DLinear,Electricity,0.0186,0.0059
DLinear,Environment,0.0186,0.0001
PatchTST,ETTm2,10.0563,0.8020
PatchTST,Weather,6.9039,1.6089
PatchTST,Electricity,6.9039,24.5936
PatchTST,Environment,6.9039,0.4597
TimesNet,ETTm2,1.1919,1.1312
TimesNet,Weather,1.1937,1.1256
TimesNet,Electricity,150.3048,143.9933
TimesNet,Environment,1.1918,1.1857
Mamba,ETTm2,0.2374,0.0238
Mamba,Weather,0.2446,0.0245
Mamba,Electricity,0.3982,0.0392
Mamba,Environment,0.2368,0.0237
SparseTSF,ETTm2,0.0148,0.0001
SparseTSF,Weather,0.0278,0.0002
SparseTSF,Electricity,0.3068,0.0030
SparseTSF,Environment,0.0138,0.0001
KANiTransformer,ETTm2,59.3994,0.1021
KANiTransformer,Weather,59.3994,0.3065
KANiTransformer,Electricity,31.0885,2.7636
KANiTransformer,Environment,59.3994,0.0875
LiteSparseNet,ETTm2,0.0332,0.0001
LiteSparseNet,Weather,0.0999,0.0002
LiteSparseNet,Electricity,1.5314,0.0036
LiteSparseNet,Environment,0.0285,0.0001
