MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,label,ablation,setting
0.10327777,0.22121857,0.3213686,149.86172,62.862682,59.399377,6.531481336,1.5434725952148438,1014.517578125,success,KANiTransformer,ETTm2,96,96,A0 - 完整,KAN 5 Modules,A0 - 完整
0.14266866,0.23470795,0.37771505,191.59235,47.361523,31.088453,44.217038336,1.784785919189453,1027.458984375,success,KANiTransformer,Electricity,96,96,A0 - 完整,KAN 5 Modules,A0 - 完整
0.37864682,0.37551904,0.61534286,840.11554,68.14997,59.399375,5.598019288,1.4978842163085937,1008.8427734375,success,KANiTransformer,Environment,96,96,A0 - 完整,KAN 5 Modules,A0 - 完整
0.10655684,0.22642285,0.32643044,154.30559,63.353027,20.075214,2.420375288,0.37861377716064454,387.248046875,success,KANiTransformer,ETTm2,96,96,A1 - w/o CFD,KAN 5 Modules,A1 - w/o CFD
0.1456036,0.2388845,0.38158038,193.99153,48.001064,10.638658,18.628089344,0.7106285095214844,524.59765625,success,KANiTransformer,Electricity,96,96,A1 - w/o CFD,KAN 5 Modules,A1 - w/o CFD
0.36339512,0.3915521,0.6028226,1508.7257,71.0648,20.075212,2.074214104,0.3886528015136719,384.0732421875,success,KANiTransformer,Environment,96,96,A1 - w/o CFD,KAN 5 Modules,A1 - w/o CFD
0.10327777,0.22121857,0.3213686,149.86172,62.862682,59.399377,6.531481336,1.5024703979492187,1013.017578125,success,KANiTransformer,ETTm2,96,96,A2 - w/o 预训练,KAN 5 Modules,A2 - w/o 预训练
0.14266866,0.23470795,0.37771505,191.59235,47.361523,31.088453,44.217038336,1.784389190673828,1026.53564453125,success,KANiTransformer,Electricity,96,96,A2 - w/o 预训练,KAN 5 Modules,A2 - w/o 预训练
0.37864682,0.37551904,0.61534286,840.11554,68.14997,59.399375,5.598019288,1.4959039306640625,1008.8427734375,success,KANiTransformer,Environment,96,96,A2 - w/o 预训练,KAN 5 Modules,A2 - w/o 预训练
0.10504589,0.22520009,0.32410783,151.9949,63.26877,59.350129,6.50946124,1.4848690795898438,1011.79052734375,success,KANiTransformer,ETTm2,96,96,A3 - w/o 概率输出,KAN 5 Modules,A3 - w/o 概率输出
0.14241101,0.23484649,0.37737384,189.20091,47.54153,31.039205,43.964593664,1.7458586120605468,1029.7080078125,success,KANiTransformer,Electricity,96,96,A3 - w/o 概率输出,KAN 5 Modules,A3 - w/o 概率输出
0.39376953,0.38705608,0.6275106,1201.996,69.081924,59.350127,5.57914492,1.4934988403320313,1009.76416015625,success,KANiTransformer,Environment,96,96,A3 - w/o 概率输出,KAN 5 Modules,A3 - w/o 概率输出
0.10726814,0.2277077,0.32751817,151.9937,63.794415,59.399363,6.531481336,1.4928608703613282,1013.8447265625,success,KANiTransformer,ETTm2,96,96,A4 - w/o RevIN,KAN 5 Modules,A4 - w/o RevIN
0.1532789,0.24197045,0.3915085,194.42035,48.402477,31.087811,44.217038336,1.7635392761230468,1025.56787109375,success,KANiTransformer,Electricity,96,96,A4 - w/o RevIN,KAN 5 Modules,A4 - w/o RevIN
0.38252553,0.3832782,0.61848646,1026.641,69.27241,59.399363,5.598019288,1.4868006896972656,1010.6943359375,success,KANiTransformer,Environment,96,96,A4 - w/o RevIN,KAN 5 Modules,A4 - w/o RevIN
