MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,label,line,text_mode,error
0.432081937789917,0.4316384494304657,0.6573293805122375,981.7379150390624,77.12086486816406,6.903904,29.420414912,1.5430776977539062,2056.80908203125,success,PatchTST,Environment,96,96,baseline,3,baseline,
0.5062691569328308,0.4766184985637665,0.7115259170532227,957.6798706054688,81.95223999023438,7.493824,29.646907328,1.5474412536621094,2068.197265625,success,PatchTST,Environment,96,192,baseline,3,baseline,
0.432081937789917,0.4316384494304657,0.6573293805122375,981.7379150390624,77.12086486816406,6.903904,29.420414912,1.548086395263672,2056.3232421875,success,PatchTST,Environment,96,96,report,3,report,
0.5062691569328308,0.4766184985637665,0.7115259170532227,957.6798706054688,81.95223999023438,7.493824,29.646907328,1.5477804565429687,2065.28955078125,success,PatchTST,Environment,96,192,report,3,report,
0.432081937789917,0.4316384494304657,0.6573293805122375,981.7379150390624,77.12086486816406,6.903904,29.420414912,1.5518572998046876,2055.1357421875,success,PatchTST,Environment,96,96,search,3,search,
0.5062691569328308,0.4766184985637665,0.7115259170532227,957.6798706054688,81.95223999023438,7.493824,29.646907328,1.548954315185547,2069.28955078125,success,PatchTST,Environment,96,192,search,3,search,
0.432081937789917,0.4316384494304657,0.6573293805122375,981.7379150390624,77.12086486816406,6.903904,29.420414912,1.5475897216796874,2056.0107421875,success,PatchTST,Environment,96,96,both_concat,3,both_concat,
0.5062691569328308,0.4766184985637665,0.7115259170532227,957.6798706054688,81.95223999023438,7.493824,29.646907328,1.547840576171875,2068.16455078125,success,PatchTST,Environment,96,192,both_concat,3,both_concat,
0.432081937789917,0.4316384494304657,0.6573293805122375,981.7379150390624,77.12086486816406,6.903904,29.420414912,1.5484780883789062,2056.5732421875,success,PatchTST,Environment,96,96,both_gating,3,both_gating,
0.5062691569328308,0.4766184985637665,0.7115259170532227,957.6798706054688,81.95223999023438,7.493824,29.646907328,1.5513516235351563,2068.16455078125,success,PatchTST,Environment,96,192,both_gating,3,both_gating,
0.432081937789917,0.4316384494304657,0.6573293805122375,981.7379150390624,77.12086486816406,6.903904,29.420414912,1.5515737915039065,2055.3232421875,success,PatchTST,Environment,96,96,satellite,3,satellite,
0.5062691569328308,0.4766184985637665,0.7115259170532227,957.6798706054688,81.95223999023438,7.493824,29.646907328,1.545819549560547,2069.03955078125,success,PatchTST,Environment,96,192,satellite,3,satellite,
0.432081937789917,0.4316384494304657,0.6573293805122375,981.7379150390624,77.12086486816406,6.903904,29.420414912,1.5497535705566403,2055.3232421875,success,PatchTST,Environment,96,96,text+satellite,3,text+satellite,
0.5062691569328308,0.4766184985637665,0.7115259170532227,957.6798706054688,81.95223999023438,7.493824,29.646907328,1.5499839782714844,2067.16455078125,success,PatchTST,Environment,96,192,text+satellite,3,text+satellite,
0.2559236586093902,0.3466769456863403,0.5058889985084534,1640.9674072265625,66.91157531738281,0.2368,1.518997088,4.837991027832032,1035.3291015625,success,Mamba,Environment,96,96,baseline,3,baseline,
0.2159972339868545,0.3225216567516327,0.4647550284862518,1041.1859130859375,63.69868469238281,0.255424,1.526074976,5.001322326660156,1036.81298828125,success,Mamba,Environment,96,192,baseline,3,baseline,
0.2559236586093902,0.3466769456863403,0.5058889985084534,1640.9674072265625,66.91157531738281,0.2368,1.518997088,4.837991027832032,1035.3291015625,success,Mamba,Environment,96,96,report,3,report,
0.2159972339868545,0.3225216567516327,0.4647550284862518,1041.1859130859375,63.69868469238281,0.255424,1.526074976,5.001322326660156,1036.81298828125,success,Mamba,Environment,96,192,report,3,report,
0.2559236586093902,0.3466769456863403,0.5058889985084534,1640.9674072265625,66.91157531738281,0.2368,1.518997088,4.837991027832032,1035.3291015625,success,Mamba,Environment,96,96,search,3,search,
0.2159972339868545,0.3225216567516327,0.4647550284862518,1041.1859130859375,63.69868469238281,0.255424,1.526074976,5.001322326660156,1036.81298828125,success,Mamba,Environment,96,192,search,3,search,
0.2559236586093902,0.3466769456863403,0.5058889985084534,1640.9674072265625,66.91157531738281,0.2368,1.518997088,4.837991027832032,1035.3291015625,success,Mamba,Environment,96,96,both_concat,3,both_concat,
0.2159972339868545,0.3225216567516327,0.4647550284862518,1041.1859130859375,63.69868469238281,0.255424,1.526074976,5.001322326660156,1036.81298828125,success,Mamba,Environment,96,192,both_concat,3,both_concat,
0.2559236586093902,0.3466769456863403,0.5058889985084534,1640.9674072265625,66.91157531738281,0.2368,1.518997088,4.837991027832032,1035.3291015625,success,Mamba,Environment,96,96,both_gating,3,both_gating,
0.2159972339868545,0.3225216567516327,0.4647550284862518,1041.1859130859375,63.69868469238281,0.255424,1.526074976,5.001322326660156,1036.81298828125,success,Mamba,Environment,96,192,both_gating,3,both_gating,
0.2559236586093902,0.3466769456863403,0.5058889985084534,1640.9674072265625,66.91157531738281,0.2368,1.518997088,4.837991027832032,1035.3291015625,success,Mamba,Environment,96,96,satellite,3,satellite,
0.2159972339868545,0.3225216567516327,0.4647550284862518,1041.1859130859375,63.69868469238281,0.255424,1.526074976,5.001322326660156,1036.81298828125,success,Mamba,Environment,96,192,satellite,3,satellite,
0.2559236586093902,0.3466769456863403,0.5058889985084534,1640.9674072265625,66.91157531738281,0.2368,1.518997088,4.837991027832032,1035.3291015625,success,Mamba,Environment,96,96,text+satellite,3,text+satellite,
0.2159972339868545,0.3225216567516327,0.4647550284862518,1041.1859130859375,63.69868469238281,0.255424,1.526074976,5.001322326660156,1036.81298828125,success,Mamba,Environment,96,192,text+satellite,3,text+satellite,
